term1	senset1	sentencet1	classt1	term2	senset2	sentencet2	classt2	which_is_more_emotional
crawl	crawl#v#2	My skin <b>crawled--I</b> was terrified	metaphorical	crawl	crawl#v#5	European children learn the breast stroke; they often don't know how to <b>crawl</b>	literal	the focus word conveys more emotion in the first sentence
crown	crown#v#2	The speech <b>crowned</b> the meeting	metaphorical	crown	crown#v#1	The prince was <b>crowned</b> in Westminster Abbey	literal	the focus words in the two sentences convey a similar degree of emotion
push	push#v#2	He <b>pushed</b> her to finish her doctorate	metaphorical	push	push#v#5	she <b>pushed</b> against the wall with all her strength	literal	the focus word conveys more emotion in the first sentence
bolt	bolt#v#6	Don't <b>bolt</b> your food!	metaphorical	bolt	bolt#v#1	She <b>bolted</b> from her seat	literal	the focus words in the two sentences convey a similar degree of emotion
leak	leak#v#2	The news <b>leaked</b> out despite his secrecy	metaphorical	leak	leak#v#4	The container <b>leaked</b> gasoline	literal	the focus word conveys more emotion in the first sentence
drink	drink#v#4	The mother <b>drinks</b> in every word of her son on the stage	metaphorical	drink	drink#v#2	We were up <b>drinking</b> all night	literal	the focus word conveys more emotion in the first sentence
flash	flash#v#4	The latest intelligence is <b>flashed</b> to all command posts	metaphorical	flash	flash#v#1	The lights were <b>flashing</b>	literal	the focus words in the two sentences convey a similar degree of emotion
want	want#v#2	This piano <b>wants</b> the attention of a competent tuner	metaphorical	want	want#v#5	<b>want</b> the strength to go on living	literal	the focus word conveys more emotion in the second sentence
smash	smash#v#9	The police <b>smashed</b> the drug ring after they were tipped off	metaphorical	smash	smash#v#8	The motorcycle <b>smashed</b> into the guard rail	literal	the focus words in the two sentences convey a similar degree of emotion
shower	shower#v#1	He was <b>showered</b> with praise	metaphorical	shower	shower#v#3	You should <b>shower</b> after vigorous exercise	literal	the focus word conveys more emotion in the first sentence
dull	dull#v#7	Middle age <b>dulled</b> her appetite for travel	metaphorical	dull	dull#v#1	Age had <b>dulled</b> the surface	literal	the focus word conveys more emotion in the first sentence
devour	devour#v#1	Fire had <b>devoured</b> our home	metaphorical	devour	devour#v#4	he <b>devoured</b> three sandwiches	literal	the focus words in the two sentences convey a similar degree of emotion
explode	explode#v#3	The boss <b>exploded</b> when he heard of the resignation of the secretary	metaphorical	explode	explode#v#2	The champagne bottle <b>exploded</b>	literal	the focus word conveys more emotion in the first sentence
float	float#v#5	The dancer <b>floated</b> across the stage	metaphorical	float	float#v#3	He <b>floated</b> the logs down the river	literal	the focus word conveys more emotion in the first sentence
drink	drink#v#4	The mother <b>drinks</b> in every word of her son on the stage	metaphorical	drink	drink#v#1	The patient must <b>drink</b> several liters each day	literal	the focus word conveys more emotion in the first sentence
poison	poison#v#1	<b>poison</b> someone's mind	metaphorical	poison	poison#v#3	Her husband <b>poisoned</b> her drink in order to kill her	literal	the focus word conveys more emotion in the first sentence
push	push#v#8	The guy hanging around the school is <b>pushing</b> drugs	metaphorical	push	push#v#9	The crowd <b>pushed</b> forward	literal	the focus words in the two sentences convey a similar degree of emotion
buzz	buzz#v#3	This office is <b>buzzing</b> with activity	metaphorical	buzz	buzz#v#1	bees were <b>buzzing</b> around the hive	literal	the focus word conveys more emotion in the first sentence
incline	incline#v#6	Their language <b>inclines</b> us to believe them	metaphorical	incline	incline#v#3	She <b>inclined</b> her head to the student	literal	the focus word conveys more emotion in the first sentence
glow	glow#v#4	Make the people's hearts <b>glow</b>	metaphorical	glow	glow#v#3	The coals were <b>glowing</b> in the dark	literal	the focus word conveys more emotion in the first sentence
flash	flash#v#4	The latest intelligence is <b>flashed</b> to all command posts	metaphorical	flash	flash#v#8	A shooting star <b>flashed</b> and was gone	literal	the focus words in the two sentences convey a similar degree of emotion
wallow	wallow#v#5	<b>wallow</b> in your success!	metaphorical	wallow	wallow#v#2	pigs were <b>wallowing</b> in the mud	literal	the focus word conveys more emotion in the first sentence
dump	dump#v#2	The company <b>dumped</b> him after many years of service	metaphorical	dump	dump#v#4	The truck <b>dumped</b> the garbage in the street	literal	the focus word conveys more emotion in the first sentence
look	look#v#5	The house <b>looks</b> north	metaphorical	look	look#v#4	We <b>looked</b> all day and finally found the child in the forest	literal	the focus word conveys more emotion in the second sentence
square	square#v#5	one idea <b>squares</b> with another	metaphorical	square	square#v#1	<b>square</b> the wood with a file	literal	the focus words in the two sentences convey a similar degree of emotion
want	want#v#2	This piano <b>wants</b> the attention of a competent tuner	metaphorical	want	want#v#4	I <b>want</b> you here at noon!	literal	the focus word conveys more emotion in the second sentence
poison	poison#v#1	<b>poison</b> someone's mind	metaphorical	poison	poison#v#4	This mushrooms can <b>poison</b>	literal	the focus word conveys more emotion in the first sentence
push	push#v#6	She is <b>pushing</b> fifty	metaphorical	push	push#v#10	"`Now <b>push</b> hard,' said the doctor to the woman"	literal	the focus word conveys more emotion in the first sentence
nod	nod#v#4	the flowers were <b>nodding</b> in the breeze	metaphorical	nod	nod#v#1	He <b>nodded</b> his approval	literal	the focus word conveys more emotion in the second sentence
push	push#v#6	She is <b>pushing</b> fifty	metaphorical	push	push#v#1	He <b>pushed</b> the table into a corner	literal	the focus words in the two sentences convey a similar degree of emotion
mount	mount#v#7	<b>mount</b> a theater production	metaphorical	mount	mount#v#1	They <b>mounted</b> the aerator on a floating	literal	the focus words in the two sentences convey a similar degree of emotion
push	push#v#7	The liberal party <b>pushed</b> for reforms	metaphorical	push	push#v#9	The crowd <b>pushed</b> forward	literal	the focus word conveys more emotion in the first sentence
gag	gag#v#1	The press was <b>gagged</b>	metaphorical	gag	gag#v#4	The students were <b>gagging</b> during dinner	literal	the focus words in the two sentences convey a similar degree of emotion
harmonize	harmonize#v#1	The colors don't <b>harmonize</b>	metaphorical	harmonize	harmonize#v#4	<b>harmonize</b> the different interests	literal	the focus words in the two sentences convey a similar degree of emotion
puff	puff#v#5	The critics <b>puffed</b> up this Broadway production	metaphorical	puff	puff#v#7	Her faced <b>puffed</b> up from the drugs	literal	the focus words in the two sentences convey a similar degree of emotion
level	level#v#5	I have to <b>level</b> with you	metaphorical	level	level#v#2	The building was <b>levelled</b>	literal	the focus word conveys more emotion in the first sentence
dull	dull#v#7	Middle age <b>dulled</b> her appetite for travel	metaphorical	dull	dull#v#2	the varnished table top <b>dulled</b> with time	literal	the focus word conveys more emotion in the first sentence
emerge	emerge#v#3	Some nice results <b>emerged</b> from the study	metaphorical	emerge	emerge#v#4	He felt new emotions <b>emerge</b>	literal	the focus word conveys more emotion in the second sentence
push	push#v#8	The guy hanging around the school is <b>pushing</b> drugs	metaphorical	push	push#v#10	"`Now <b>push</b> hard,' said the doctor to the woman"	literal	the focus words in the two sentences convey a similar degree of emotion
emerge	emerge#v#3	Some nice results <b>emerged</b> from the study	metaphorical	emerge	emerge#v#1	"Suddenly, the proprietor <b>emerged</b> from his office"	literal	the focus words in the two sentences convey a similar degree of emotion
flash	flash#v#4	The latest intelligence is <b>flashed</b> to all command posts	metaphorical	flash	flash#v#2	The headlines <b>flashed</b> on the screen	literal	the focus words in the two sentences convey a similar degree of emotion
explode	explode#v#3	The boss <b>exploded</b> when he heard of the resignation of the secretary	metaphorical	explode	explode#v#5	The enemy <b>exploded</b> the bridge	literal	the focus word conveys more emotion in the first sentence
flood	flood#v#3	<b>flood</b> the market with tennis shoes	metaphorical	flood	flood#v#2	The swollen river <b>flooded</b> the village	literal	the focus words in the two sentences convey a similar degree of emotion
whistle	whistle#v#4	Her optimism <b>whistled</b> away these worries	metaphorical	whistle	whistle#v#6	She <b>whistled</b> for her maid	literal	the focus word conveys more emotion in the first sentence
melt	melt#v#4	Hundreds of actors were <b>melting</b> into the scene	metaphorical	melt	melt#v#2	The sun <b>melted</b> the ice	literal	the focus word conveys more emotion in the first sentence
glare	glare#v#2	The moon <b>glared</b> back at itself from the lake's surface	metaphorical	glare	glare#v#1	The girl <b>glared</b> at the man who tried to make a pass at her	literal	the focus word conveys more emotion in the second sentence
sow	sow#v#2	<b>sow</b> suspicion or beliefs	metaphorical	sow	sow#v#3	<b>sow</b> the ground with sunflower seeds	literal	the focus word conveys more emotion in the first sentence
hack	hack#v#2	I can't <b>hack</b> it anymore	metaphorical	hack	hack#v#3	he <b>hacked</b> his way through the forest	literal	the focus word conveys more emotion in the first sentence
tug	tug#v#2	She <b>tugged</b> for years to make a decent living	metaphorical	tug	tug#v#1	The prisoner <b>tugged</b> at the chains	literal	the focus words in the two sentences convey a similar degree of emotion
deflate	deflate#v#5	<b>deflate</b> the currency	metaphorical	deflate	deflate#v#2	<b>deflate</b> the air mattress	literal	the focus words in the two sentences convey a similar degree of emotion
crawl	crawl#v#2	My skin <b>crawled--I</b> was terrified	metaphorical	crawl	crawl#v#1	The crocodile was <b>crawling</b> along the riverbed	literal	the focus word conveys more emotion in the first sentence
clap	clap#v#1	The judge <b>clapped</b> him in jail	metaphorical	clap	clap#v#7	<b>clap</b> two boards together	literal	the focus word conveys more emotion in the first sentence
color	color#v#2	My personal feelings <b>color</b> my judgment in this case	metaphorical	color	color#v#1	The child <b>colored</b> the drawings	literal	the focus word conveys more emotion in the first sentence
back	back#v#7	Which horse are you <b>backing?</b>	metaphorical	back	back#v#9	Can you <b>back</b> up your claims?	literal	the focus word conveys more emotion in the second sentence
convulse	convulse#v#1	The comedian <b>convulsed</b> the crowd	metaphorical	convulse	convulse#v#6	The muscles in her face <b>convulsed</b>	literal	the focus word conveys more emotion in the first sentence
back	back#v#7	Which horse are you <b>backing?</b>	metaphorical	back	back#v#2	<b>back</b> into the driveway	literal	the focus word conveys more emotion in the first sentence
engrave	engrave#v#2	The event <b>engraved</b> itself into her memory	metaphorical	engrave	engrave#v#1	<b>engraved</b> the trophy cupt with the winner's	literal	the focus word conveys more emotion in the first sentence
blur	blur#v#6	The distinction between the two theories <b>blurred</b>	metaphorical	blur	blur#v#2	The haze <b>blurs</b> the hills	literal	the focus words in the two sentences convey a similar degree of emotion
land	land#v#3	this may <b>land</b> you in jail	metaphorical	land	land#v#4	The drug smugglers <b>landed</b> the heroin on the beach of the island	literal	the focus words in the two sentences convey a similar degree of emotion
climb	climb#v#5	This young man knows how to <b>climb</b> the social ladder	metaphorical	climb	climb#v#1	Did you ever <b>climb</b> up the hill behind your house?	literal	the focus word conveys more emotion in the first sentence
shower	shower#v#5	He <b>showered</b> her with presents	metaphorical	shower	shower#v#4	Meteors <b>showered</b> down over half of Australia	literal	the focus word conveys more emotion in the first sentence
drift	drift#v#4	stock prices are <b>drifting</b> higher	metaphorical	drift	drift#v#7	<b>drift</b> the boats downstream	literal	the focus words in the two sentences convey a similar degree of emotion
flood	flood#v#3	<b>flood</b> the market with tennis shoes	metaphorical	flood	flood#v#4	Our basement <b>flooded</b> during the heavy rains	literal	the focus words in the two sentences convey a similar degree of emotion
swell	swell#v#2	The mother was <b>swelling</b> with importance when she spoke of her son	metaphorical	swell	swell#v#3	The bellies of the starving children are <b>swelling</b>	literal	the focus word conveys more emotion in the first sentence
push	push#v#3	The salesman is aggressively <b>pushing</b> the new computer model	metaphorical	push	push#v#9	The crowd <b>pushed</b> forward	literal	the focus word conveys more emotion in the first sentence
shower	shower#v#5	He <b>showered</b> her with presents	metaphorical	shower	shower#v#3	You should <b>shower</b> after vigorous exercise	literal	the focus word conveys more emotion in the first sentence
smash	smash#v#9	The police <b>smashed</b> the drug ring after they were tipped off	metaphorical	smash	smash#v#4	She <b>smashed</b> her car against the guard rail	literal	the focus words in the two sentences convey a similar degree of emotion
ferment	ferment#v#1	The Middle East is <b>fermenting</b>	metaphorical	ferment	ferment#v#3	We <b>ferment</b> the grapes for a very long time to achieve high alcohol content	literal	the focus word conveys more emotion in the first sentence
flow	flow#v#1	The crowd <b>flowed</b> out of the stadium	metaphorical	flow	flow#v#2	Water <b>flowed</b> into the cave	literal	the focus words in the two sentences convey a similar degree of emotion
stumble	stumble#v#3	I <b>stumbled</b> across a long-lost cousin last night in a restaurant	metaphorical	stumble	stumble#v#1	The drunk man <b>stumbled</b> about	literal	the focus words in the two sentences convey a similar degree of emotion
hunt	hunt#v#5	The oscillator <b>hunts</b> about the correct frequency	metaphorical	hunt	hunt#v#1	Goering often <b>hunted</b> wild boars in Poland	literal	the focus words in the two sentences convey a similar degree of emotion
translate	translate#v#2	Braque <b>translated</b> collage into oil	metaphorical	translate	translate#v#9	Can you <b>translate</b> the instructions in this manual for a layman?	literal	the focus words in the two sentences convey a similar degree of emotion
spell	spell#v#2	I'm afraid this <b>spells</b> trouble!	metaphorical	spell	spell#v#1	How do you <b>spell</b> this word?	literal	the focus word conveys more emotion in the first sentence
translate	translate#v#2	Braque <b>translated</b> collage into oil	metaphorical	translate	translate#v#1	I have to <b>translate</b> when my in-laws from Austria visit the U.S.	literal	the focus words in the two sentences convey a similar degree of emotion
shower	shower#v#5	He <b>showered</b> her with presents	metaphorical	shower	shower#v#2	The guests <b>showered</b> rice on the couple	literal	the focus words in the two sentences convey a similar degree of emotion
drink	drink#v#4	The mother <b>drinks</b> in every word of her son on the stage	metaphorical	drink	drink#v#5	The husband <b>drinks</b> and beats his wife	literal	the focus word conveys more emotion in the first sentence
push	push#v#3	The salesman is aggressively <b>pushing</b> the new computer model	metaphorical	push	push#v#5	she <b>pushed</b> against the wall with all her strength	literal	the focus word conveys more emotion in the first sentence
map	map#v#5	sorrow was <b>mapped</b> on the mother's face	metaphorical	map	map#v#1	<b>map</b> the surface of Venus	literal	the focus word conveys more emotion in the first sentence
stumble	stumble#v#3	I <b>stumbled</b> across a long-lost cousin last night in a restaurant	metaphorical	stumble	stumble#v#2	She <b>stumbled</b> over the tree root	literal	the focus word conveys more emotion in the first sentence
dump	dump#v#2	The company <b>dumped</b> him after many years of service	metaphorical	dump	dump#v#1	No <b>dumping</b> in these woods!	literal	the focus words in the two sentences convey a similar degree of emotion
answer	answer#v#10	The steering of my new car <b>answers</b> to the slightest touch	metaphorical	answer	answer#v#2	<b>answer</b> the telephone	literal	the focus words in the two sentences convey a similar degree of emotion
gag	gag#v#1	The press was <b>gagged</b>	metaphorical	gag	gag#v#5	he swallowed a fishbone and <b>gagged</b>	literal	the focus words in the two sentences convey a similar degree of emotion
want	want#v#2	This piano <b>wants</b> the attention of a competent tuner	metaphorical	want	want#v#1	I <b>want</b> to go home now	literal	the focus word conveys more emotion in the second sentence
dull	dull#v#7	Middle age <b>dulled</b> her appetite for travel	metaphorical	dull	dull#v#5	Too much cutting <b>dulls</b> the knife's edge	literal	the focus word conveys more emotion in the first sentence
reflect	reflect#v#7	The mess in his dorm room <b>reflects</b> on the student	metaphorical	reflect	reflect#v#5	her sunglasses <b>reflected</b> his image	literal	the focus word conveys more emotion in the first sentence
taste	taste#v#6	The ex-slave <b>tasted</b> freedom shortly before she died	metaphorical	taste	taste#v#5	We <b>tasted</b> wines last night	literal	the focus word conveys more emotion in the first sentence
hunt	hunt#v#5	The oscillator <b>hunts</b> about the correct frequency	metaphorical	hunt	hunt#v#7	The King used to <b>hunt</b> these forests	literal	the focus words in the two sentences convey a similar degree of emotion
juggle	juggle#v#3	She had to <b>juggle</b> her job and her children	metaphorical	juggle	juggle#v#5	the player <b>juggled</b> the ball	literal	the focus word conveys more emotion in the first sentence
land	land#v#3	this may <b>land</b> you in jail	metaphorical	land	land#v#2	the pilot managed to <b>land</b> the airplane safely	literal	the focus word conveys more emotion in the first sentence
convulse	convulse#v#1	The comedian <b>convulsed</b> the crowd	metaphorical	convulse	convulse#v#5	The spasm <b>convulses</b> her facial muscles	literal	the focus word conveys more emotion in the first sentence
buy	buy#v#5	I can't <b>buy</b> this story	metaphorical	buy	buy#v#3	This sum will <b>buy</b> you a ride on the train	literal	the focus word conveys more emotion in the first sentence
grab	grab#v#6	This story will <b>grab</b> you	metaphorical	grab	grab#v#3	The passenger <b>grabbed</b> for the oxygen mask	literal	the focus word conveys more emotion in the first sentence
gravitate	gravitate#v#1	The conversation <b>gravitated</b> towards politics	metaphorical	gravitate	gravitate#v#3	The stars <b>gravitate</b> towards each other	literal	the focus words in the two sentences convey a similar degree of emotion
whistle	whistle#v#4	Her optimism <b>whistled</b> away these worries	metaphorical	whistle	whistle#v#3	She <b>whistled</b> a melody	literal	the focus word conveys more emotion in the first sentence
twist	twist#v#9	Don't <b>twist</b> my words	metaphorical	twist	twist#v#10	The wrestler <b>twisted</b> his shoulder	literal	the focus word conveys more emotion in the first sentence
buzz	buzz#v#4	he <b>buzzed</b> the servant	metaphorical	buzz	buzz#v#1	bees were <b>buzzing</b> around the hive	literal	the focus words in the two sentences convey a similar degree of emotion
inject	inject#v#2	He <b>injected</b> new life into the performance	metaphorical	inject	inject#v#3	<b>inject</b> hydrogen into the balloon	literal	the focus word conveys more emotion in the first sentence
breathe	breathe#v#3	He <b>breathed</b> new life into the old house	metaphorical	breathe	breathe#v#1	I can <b>breathe</b> better when the air is clean	literal	the focus word conveys more emotion in the first sentence
hack	hack#v#2	I can't <b>hack</b> it anymore	metaphorical	hack	hack#v#6	I'm not very good at <b>hacking</b> but I'll give it my best	literal	the focus word conveys more emotion in the first sentence
puff	puff#v#4	The sudden fame <b>puffed</b> her ego	metaphorical	puff	puff#v#8	he huffed and <b>puffed</b> as he made his way up the mountain	literal	the focus word conveys more emotion in the first sentence
relax	relax#v#7	The rules <b>relaxed</b> after the new director arrived	metaphorical	relax	relax#v#1	He <b>relaxed</b> in the hot tub	literal	the focus words in the two sentences convey a similar degree of emotion
map	map#v#5	sorrow was <b>mapped</b> on the mother's face	metaphorical	map	map#v#2	We haven't even begun to <b>map</b> the many galaxies that we know exist	literal	the focus word conveys more emotion in the first sentence
steamroller	steamroller#v#2	The new teacher tends to <b>steamroller</b>	metaphorical	steamroller	steamroller#v#3	<b>steamroller</b> the road	literal	the focus word conveys more emotion in the first sentence
communicate	communicate#v#4	The rooms <b>communicated</b>	metaphorical	communicate	communicate#v#1	Please <b>communicate</b> this message to all employees	literal	the focus words in the two sentences convey a similar degree of emotion
push	push#v#2	He <b>pushed</b> her to finish her doctorate	metaphorical	push	push#v#1	He <b>pushed</b> the table into a corner	literal	the focus word conveys more emotion in the first sentence
tug	tug#v#2	She <b>tugged</b> for years to make a decent living	metaphorical	tug	tug#v#3	The <b>tugboat</b> tugged the freighter into the harbor	literal	the focus word conveys more emotion in the first sentence
lighten	lighten#v#3	"after a glass of wine, he <b>lightened</b> up a bit"	metaphorical	lighten	lighten#v#2	she <b>lightened</b> the load on the tired donkey	literal	the focus word conveys more emotion in the first sentence
level	level#v#1	<b>level</b> criticism or charges at somebody	metaphorical	level	level#v#6	The ground <b>levelled</b> off	literal	the focus word conveys more emotion in the first sentence
breathe	breathe#v#4	Our new synthetic fabric <b>breathes</b> and is perfect for summer wear	metaphorical	breathe	breathe#v#1	I can <b>breathe</b> better when the air is clean	literal	the focus words in the two sentences convey a similar degree of emotion
wear	wear#v#3	He always <b>wears</b> a smile	metaphorical	wear	wear#v#1	She was <b>wearing</b> yellow that day	literal	the focus word conveys more emotion in the first sentence
glare	glare#v#3	The sun <b>glared</b> down on us	metaphorical	glare	glare#v#1	The girl <b>glared</b> at the man who tried to make a pass at her	literal	the focus word conveys more emotion in the second sentence
salt	salt#v#3	She <b>salts</b> her lectures with jokes	metaphorical	salt	salt#v#4	people used to <b>salt</b> meats on ships	literal	the focus word conveys more emotion in the first sentence
square	square#v#4	He <b>squared</b> his shoulders	metaphorical	square	square#v#1	<b>square</b> the wood with a file	literal	the focus word conveys more emotion in the first sentence
puff	puff#v#4	The sudden fame <b>puffed</b> her ego	metaphorical	puff	puff#v#7	Her faced <b>puffed</b> up from the drugs	literal	the focus word conveys more emotion in the first sentence
dawn	dawn#v#1	It <b>dawned</b> on him that she had betrayed him	metaphorical	dawn	dawn#v#3	"It started to <b>dawn,</b> and we had to get up"	literal	the focus word conveys more emotion in the first sentence
bounce	bounce#v#7	The ex-boxer's job is to <b>bounce</b> people who want to enter this private club	metaphorical	bounce	bounce#v#5	He <b>bounced</b> to his feet	literal	the focus words in the two sentences convey a similar degree of emotion
push	push#v#7	The liberal party <b>pushed</b> for reforms	metaphorical	push	push#v#5	she <b>pushed</b> against the wall with all her strength	literal	the focus word conveys more emotion in the second sentence
crush	crush#v#5	She was <b>crushed</b> by his refusal of her invitation	metaphorical	crush	crush#v#2	<b>crush</b> an aluminum can	literal	the focus word conveys more emotion in the first sentence
blast	blast#v#1	She tended to <b>blast</b> when speaking into a microphone	metaphorical	blast	blast#v#5	<b>blast</b> a passage through the mountain	literal	the focus word conveys more emotion in the first sentence
taste	taste#v#6	The ex-slave <b>tasted</b> freedom shortly before she died	metaphorical	taste	taste#v#2	Can you <b>taste</b> the garlic?	literal	the focus word conveys more emotion in the first sentence
shower	shower#v#1	He was <b>showered</b> with praise	metaphorical	shower	shower#v#4	Meteors <b>showered</b> down over half of Australia	literal	the focus word conveys more emotion in the first sentence
push	push#v#3	The salesman is aggressively <b>pushing</b> the new computer model	metaphorical	push	push#v#1	He <b>pushed</b> the table into a corner	literal	the focus word conveys more emotion in the first sentence
clap	clap#v#1	The judge <b>clapped</b> him in jail	metaphorical	clap	clap#v#5	the wings of the birds <b>clapped</b> loudly	literal	the focus words in the two sentences convey a similar degree of emotion
answer	answer#v#10	The steering of my new car <b>answers</b> to the slightest touch	metaphorical	answer	answer#v#5	The defendant <b>answered</b> to all the charges of the prosecution	literal	the focus word conveys more emotion in the second sentence
float	float#v#8	The government <b>floated</b> the ruble for a few months	metaphorical	float	float#v#3	He <b>floated</b> the logs down the river	literal	the focus words in the two sentences convey a similar degree of emotion
amount	amount#v#3	This idea will never <b>amount</b> to anything	metaphorical	amount	amount#v#2	"The bills <b>amounted</b> to $2,000"	literal	the focus word conveys more emotion in the first sentence
push	push#v#3	The salesman is aggressively <b>pushing</b> the new computer model	metaphorical	push	push#v#10	"`Now <b>push</b> hard,' said the doctor to the woman"	literal	the focus words in the two sentences convey a similar degree of emotion
level	level#v#1	<b>level</b> criticism or charges at somebody	metaphorical	level	level#v#2	The building was <b>levelled</b>	literal	the focus word conveys more emotion in the first sentence
push	push#v#2	He <b>pushed</b> her to finish her doctorate	metaphorical	push	push#v#9	The crowd <b>pushed</b> forward	literal	the focus word conveys more emotion in the first sentence
look	look#v#5	The house <b>looks</b> north	metaphorical	look	look#v#9	You don't <b>look</b> your age!	literal	the focus word conveys more emotion in the second sentence
ignite	ignite#v#3	The ostentatious way of living of the rich <b>ignites</b> the hatred of the poor	metaphorical	ignite	ignite#v#1	Great heat can <b>ignite</b> almost any dry matter	literal	the focus word conveys more emotion in the first sentence
stagger	stagger#v#4	She was <b>staggered</b> with bills after she tried to rebuild her house following the earthquake.	metaphorical	stagger	stagger#v#2	He <b>staggered</b> along in the heavy snow.	literal	the focus word conveys more emotion in the first sentence
push	push#v#6	She is <b>pushing</b> fifty	metaphorical	push	push#v#9	The crowd <b>pushed</b> forward	literal	the focus words in the two sentences convey a similar degree of emotion
devour	devour#v#2	She <b>devoured</b> his novels	metaphorical	devour	devour#v#4	he <b>devoured</b> three sandwiches	literal	the focus word conveys more emotion in the first sentence
look	look#v#5	The house <b>looks</b> north	metaphorical	look	look#v#3	The child <b>looks</b> unhappy	literal	the focus word conveys more emotion in the second sentence
rail	rail#v#8	They are <b>railing</b> for fresh fish	metaphorical	rail	rail#v#6	They <b>railed</b> from Rome to Venice	literal	the focus words in the two sentences convey a similar degree of emotion
fuel	fuel#v#4	<b>fuel</b> the debate on creationism	metaphorical	fuel	fuel#v#3	The tanker <b>fueled</b> in Bahrain	literal	the focus word conveys more emotion in the first sentence
rail	rail#v#8	They are <b>railing</b> for fresh fish	metaphorical	rail	rail#v#4	<b>rail</b> off the crowds from the Presidential palace	literal	the focus words in the two sentences convey a similar degree of emotion
dawn	dawn#v#2	The age of computers had <b>dawned</b>	metaphorical	dawn	dawn#v#3	"It started to <b>dawn,</b> and we had to get up"	literal	the focus words in the two sentences convey a similar degree of emotion
sow	sow#v#2	<b>sow</b> suspicion or beliefs	metaphorical	sow	sow#v#1	She <b>sowed</b> sunflower seeds	literal	the focus word conveys more emotion in the first sentence
want	want#v#2	This piano <b>wants</b> the attention of a competent tuner	metaphorical	want	want#v#3	Your former neighbor is <b>wanted</b> by the FBI	literal	the focus words in the two sentences convey a similar degree of emotion
twist	twist#v#9	Don't <b>twist</b> my words	metaphorical	twist	twist#v#2	<b>twist</b> the dough into a braid	literal	the focus word conveys more emotion in the first sentence
push	push#v#6	She is <b>pushing</b> fifty	metaphorical	push	push#v#5	she <b>pushed</b> against the wall with all her strength	literal	the focus word conveys more emotion in the second sentence
relax	relax#v#7	The rules <b>relaxed</b> after the new director arrived	metaphorical	relax	relax#v#4	A hot bath always <b>relaxes</b> me	literal	the focus words in the two sentences convey a similar degree of emotion
suck	suck#v#3	The current boom in the economy <b>sucked</b> many workers in from abroad	metaphorical	suck	suck#v#1	<b>suck</b> the poison from the place where the snake bit	literal	the focus words in the two sentences convey a similar degree of emotion
breathe	breathe#v#3	He <b>breathed</b> new life into the old house	metaphorical	breathe	breathe#v#2	Every creature that <b>breathes</b>	literal	the focus word conveys more emotion in the first sentence
mount	mount#v#7	<b>mount</b> a theater production	metaphorical	mount	mount#v#3	<b>mount</b> slides for macroscopic analysis	literal	the focus words in the two sentences convey a similar degree of emotion
crown	crown#v#3	A weather vane <b>crowns</b> the building	metaphorical	crown	crown#v#1	The prince was <b>crowned</b> in Westminster Abbey	literal	the focus words in the two sentences convey a similar degree of emotion
explode	explode#v#3	The boss <b>exploded</b> when he heard of the resignation of the secretary	metaphorical	explode	explode#v#1	We <b>exploded</b> the nuclear bomb	literal	the focus word conveys more emotion in the first sentence
prick	prick#v#6	The thought of her unhappiness <b>pricked</b> his conscience	metaphorical	prick	prick#v#3	The dog <b>pricked</b> up his ears	literal	the focus word conveys more emotion in the first sentence
swim	swim#v#3	my brain is <b>swimming</b> after the bottle of champagne	metaphorical	swim	swim#v#1	We had to <b>swim</b> for 20 minutes to reach the shore	literal	the focus word conveys more emotion in the first sentence
deflate	deflate#v#5	<b>deflate</b> the currency	metaphorical	deflate	deflate#v#6	The balloons <b>deflated</b>	literal	the focus words in the two sentences convey a similar degree of emotion
land	land#v#3	this may <b>land</b> you in jail	metaphorical	land	land#v#7	the enemy <b>landed</b> several of our aircraft	literal	the focus words in the two sentences convey a similar degree of emotion
level	level#v#5	I have to <b>level</b> with you	metaphorical	level	level#v#6	The ground <b>levelled</b> off	literal	the focus word conveys more emotion in the first sentence
juggle	juggle#v#2	<b>juggle</b> an account so as to hide a deficit	metaphorical	juggle	juggle#v#5	the player <b>juggled</b> the ball	literal	the focus words in the two sentences convey a similar degree of emotion
translate	translate#v#2	Braque <b>translated</b> collage into oil	metaphorical	translate	translate#v#6	the growth in income <b>translates</b> into greater purchasing power	literal	the focus words in the two sentences convey a similar degree of emotion
communicate	communicate#v#4	The rooms <b>communicated</b>	metaphorical	communicate	communicate#v#5	He and his sons haven't <b>communicated</b> for years	literal	the focus words in the two sentences convey a similar degree of emotion
drift	drift#v#4	stock prices are <b>drifting</b> higher	metaphorical	drift	drift#v#8	<b>drift</b> the cattle herds westwards	literal	the focus words in the two sentences convey a similar degree of emotion
spell	spell#v#2	I'm afraid this <b>spells</b> trouble!	metaphorical	spell	spell#v#3	He <b>spelled</b> the word wrong in this letter	literal	the focus word conveys more emotion in the first sentence
grab	grab#v#6	This story will <b>grab</b> you	metaphorical	grab	grab#v#5	She <b>grabbed</b> the child's hand and ran out of the room	literal	the focus word conveys more emotion in the first sentence
poison	poison#v#1	<b>poison</b> someone's mind	metaphorical	poison	poison#v#2	She <b>poisoned</b> her husband	literal	the focus word conveys more emotion in the first sentence
prick	prick#v#6	The thought of her unhappiness <b>pricked</b> his conscience	metaphorical	prick	prick#v#2	The needle <b>pricked</b> his skin	literal	the focus word conveys more emotion in the first sentence
